run_index,scenario_seed,total_agvs,north_agvs,south_agvs,west_agvs,east_agvs,spawn_plan_json,goal_plan_json
10,30010,16,6,5,3,2,"{""EAST"": [4, 5], ""NORTH"": [1, 3, 4, 6, 7, 8], ""SOUTH"": [0, 2, 2, 3, 4], ""WEST"": [2, 5, 6]}","{""EAST"": [""N_EXIT"", ""N_EXIT""], ""NORTH"": [""S_EXIT"", ""S_EXIT"", ""S_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT""], ""SOUTH"": [""E_EXIT"", ""E_EXIT"", ""W_EXIT"", ""N_EXIT"", ""W_EXIT""], ""WEST"": [""N_EXIT"", ""S_EXIT"", ""N_EXIT""]}"
11,30011,16,5,3,4,4,"{""EAST"": [0, 3, 5, 5], ""NORTH"": [3, 3, 4, 7, 8], ""SOUTH"": [0, 4, 7], ""WEST"": [1, 2, 8, 8]}","{""EAST"": [""W_EXIT"", ""W_EXIT"", ""W_EXIT"", ""N_EXIT""], ""NORTH"": [""E_EXIT"", ""E_EXIT"", ""W_EXIT"", ""W_EXIT"", ""E_EXIT""], ""SOUTH"": [""N_EXIT"", ""E_EXIT"", ""E_EXIT""], ""WEST"": [""E_EXIT"", ""E_EXIT"", ""S_EXIT"", ""N_EXIT""]}"
12,30012,16,4,3,3,6,"{""EAST"": [3, 3, 4, 4, 5, 8], ""NORTH"": [0, 6, 6, 7], ""SOUTH"": [5, 5, 5], ""WEST"": [3, 4, 8]}","{""EAST"": [""N_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT"", ""S_EXIT""], ""NORTH"": [""W_EXIT"", ""E_EXIT"", ""E_EXIT"", ""W_EXIT""], ""SOUTH"": [""N_EXIT"", ""N_EXIT"", ""E_EXIT""], ""WEST"": [""N_EXIT"", ""N_EXIT"", ""N_EXIT""]}"
13,30013,16,4,4,4,4,"{""EAST"": [0, 0, 2, 6], ""NORTH"": [3, 4, 5, 7], ""SOUTH"": [0, 0, 3, 8], ""WEST"": [0, 2, 7, 8]}","{""EAST"": [""S_EXIT"", ""S_EXIT"", ""W_EXIT"", ""W_EXIT""], ""NORTH"": [""S_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT""], ""SOUTH"": [""W_EXIT"", ""W_EXIT"", ""N_EXIT"", ""N_EXIT""], ""WEST"": [""N_EXIT"", ""N_EXIT"", ""N_EXIT"", ""E_EXIT""]}"
14,30014,16,2,4,4,6,"{""EAST"": [0, 1, 1, 3, 3, 4], ""NORTH"": [2, 3], ""SOUTH"": [1, 1, 4, 8], ""WEST"": [1, 1, 5, 6]}","{""EAST"": [""N_EXIT"", ""W_EXIT"", ""N_EXIT"", ""S_EXIT"", ""S_EXIT"", ""N_EXIT""], ""NORTH"": [""S_EXIT"", ""W_EXIT""], ""SOUTH"": [""E_EXIT"", ""W_EXIT"", ""N_EXIT"", ""N_EXIT""], ""WEST"": [""N_EXIT"", ""N_EXIT"", ""E_EXIT"", ""E_EXIT""]}"
15,30015,16,4,4,4,4,"{""EAST"": [3, 5, 6, 7], ""NORTH"": [3, 4, 7, 8], ""SOUTH"": [1, 1, 5, 5], ""WEST"": [0, 1, 3, 4]}","{""EAST"": [""S_EXIT"", ""W_EXIT"", ""N_EXIT"", ""S_EXIT""], ""NORTH"": [""S_EXIT"", ""W_EXIT"", ""W_EXIT"", ""S_EXIT""], ""SOUTH"": [""W_EXIT"", ""N_EXIT"", ""N_EXIT"", ""N_EXIT""], ""WEST"": [""N_EXIT"", ""S_EXIT"", ""N_EXIT"", ""S_EXIT""]}"
16,30016,16,4,6,3,3,"{""EAST"": [0, 3, 4], ""NORTH"": [1, 1, 1, 8], ""SOUTH"": [1, 3, 3, 4, 5, 6], ""WEST"": [4, 6, 7]}","{""EAST"": [""W_EXIT"", ""S_EXIT"", ""W_EXIT""], ""NORTH"": [""W_EXIT"", ""W_EXIT"", ""S_EXIT"", ""E_EXIT""], ""SOUTH"": [""E_EXIT"", ""E_EXIT"", ""E_EXIT"", ""E_EXIT"", ""W_EXIT"", ""E_EXIT""], ""WEST"": [""S_EXIT"", ""E_EXIT"", ""E_EXIT""]}"
17,30017,16,4,4,2,6,"{""EAST"": [3, 4, 7, 8, 8, 8], ""NORTH"": [4, 5, 6, 8], ""SOUTH"": [1, 4, 4, 5], ""WEST"": [1, 5]}","{""EAST"": [""S_EXIT"", ""W_EXIT"", ""W_EXIT"", ""S_EXIT"", ""S_EXIT"", ""N_EXIT""], ""NORTH"": [""W_EXIT"", ""S_EXIT"", ""S_EXIT"", ""W_EXIT""], ""SOUTH"": [""N_EXIT"", ""N_EXIT"", ""E_EXIT"", ""N_EXIT""], ""WEST"": [""N_EXIT"", ""E_EXIT""]}"
18,30018,16,4,3,5,4,"{""EAST"": [0, 2, 5, 7], ""NORTH"": [2, 4, 5, 6], ""SOUTH"": [1, 3, 5], ""WEST"": [2, 4, 4, 5, 7]}","{""EAST"": [""N_EXIT"", ""N_EXIT"", ""N_EXIT"", ""W_EXIT""], ""NORTH"": [""W_EXIT"", ""E_EXIT"", ""E_EXIT"", ""S_EXIT""], ""SOUTH"": [""E_EXIT"", ""N_EXIT"", ""N_EXIT""], ""WEST"": [""E_EXIT"", ""E_EXIT"", ""S_EXIT"", ""E_EXIT"", ""S_EXIT""]}"
19,30019,16,6,3,4,3,"{""EAST"": [0, 5, 5], ""NORTH"": [0, 3, 4, 5, 7, 8], ""SOUTH"": [0, 1, 4], ""WEST"": [3, 3, 5, 6]}","{""EAST"": [""W_EXIT"", ""N_EXIT"", ""N_EXIT""], ""NORTH"": [""W_EXIT"", ""S_EXIT"", ""S_EXIT"", ""W_EXIT"", ""S_EXIT"", ""S_EXIT""], ""SOUTH"": [""W_EXIT"", ""W_EXIT"", ""W_EXIT""], ""WEST"": [""N_EXIT"", ""N_EXIT"", ""E_EXIT"", ""E_EXIT""]}"
20,30020,16,3,5,5,3,"{""EAST"": [4, 5, 6], ""NORTH"": [0, 5, 6], ""SOUTH"": [5, 6, 8, 8, 8], ""WEST"": [3, 3, 6, 7, 8]}","{""EAST"": [""N_EXIT"", ""S_EXIT"", ""N_EXIT""], ""NORTH"": [""E_EXIT"", ""E_EXIT"", ""W_EXIT""], ""SOUTH"": [""W_EXIT"", ""N_EXIT"", ""N_EXIT"", ""N_EXIT"", ""N_EXIT""], ""WEST"": [""S_EXIT"", ""E_EXIT"", ""E_EXIT"", ""S_EXIT"", ""E_EXIT""]}"
21,30021,16,4,5,3,4,"{""EAST"": [4, 5, 6, 7], ""NORTH"": [1, 4, 5, 8], ""SOUTH"": [0, 2, 2, 3, 3], ""WEST"": [3, 5, 6]}","{""EAST"": [""W_EXIT"", ""S_EXIT"", ""W_EXIT"", ""S_EXIT""], ""NORTH"": [""E_EXIT"", ""E_EXIT"", ""W_EXIT"", ""W_EXIT""], ""SOUTH"": [""W_EXIT"", ""E_EXIT"", ""N_EXIT"", ""N_EXIT"", ""W_EXIT""], ""WEST"": [""N_EXIT"", ""N_EXIT"", ""N_EXIT""]}"
22,30022,16,4,3,6,3,"{""EAST"": [6, 6, 7], ""NORTH"": [0, 2, 3, 3], ""SOUTH"": [0, 4, 7], ""WEST"": [4, 5, 6, 7, 7, 8]}","{""EAST"": [""S_EXIT"", ""S_EXIT"", ""W_EXIT""], ""NORTH"": [""S_EXIT"", ""E_EXIT"", ""E_EXIT"", ""E_EXIT""], ""SOUTH"": [""W_EXIT"", ""N_EXIT"", ""W_EXIT""], ""WEST"": [""E_EXIT"", ""E_EXIT"", ""E_EXIT"", ""E_EXIT"", ""S_EXIT"", ""S_EXIT""]}"
23,30023,16,5,3,4,4,"{""EAST"": [4, 5, 6, 7], ""NORTH"": [0, 1, 6, 6, 8], ""SOUTH"": [3, 5, 7], ""WEST"": [1, 5, 6, 6]}","{""EAST"": [""N_EXIT"", ""N_EXIT"", ""W_EXIT"", ""S_EXIT""], ""NORTH"": [""W_EXIT"", ""S_EXIT"", ""W_EXIT"", ""W_EXIT"", ""S_EXIT""], ""SOUTH"": [""N_EXIT"", ""E_EXIT"", ""N_EXIT""], ""WEST"": [""E_EXIT"", ""E_EXIT"", ""N_EXIT"", ""E_EXIT""]}"
24,30024,16,5,3,4,4,"{""EAST"": [3, 5, 6, 8], ""NORTH"": [0, 1, 3, 5, 7], ""SOUTH"": [2, 3, 5], ""WEST"": [1, 5, 5, 7]}","{""EAST"": [""W_EXIT"", ""S_EXIT"", ""S_EXIT"", ""W_EXIT""], ""NORTH"": [""S_EXIT"", ""E_EXIT"", ""W_EXIT"", ""E_EXIT"", ""S_EXIT""], ""SOUTH"": [""N_EXIT"", ""N_EXIT"", ""W_EXIT""], ""WEST"": [""E_EXIT"", ""N_EXIT"", ""N_EXIT"", ""E_EXIT""]}"
25,30025,16,4,5,4,3,"{""EAST"": [2, 8, 8], ""NORTH"": [0, 3, 7, 8], ""SOUTH"": [0, 5, 5, 7, 8], ""WEST"": [2, 2, 4, 8]}","{""EAST"": [""N_EXIT"", ""S_EXIT"", ""N_EXIT""], ""NORTH"": [""E_EXIT"", ""S_EXIT"", ""S_EXIT"", ""S_EXIT""], ""SOUTH"": [""E_EXIT"", ""N_EXIT"", ""W_EXIT"", ""N_EXIT"", ""E_EXIT""], ""WEST"": [""S_EXIT"", ""S_EXIT"", ""S_EXIT"", ""S_EXIT""]}"
26,30026,16,3,6,4,3,"{""EAST"": [0, 0, 3], ""NORTH"": [1, 8, 8], ""SOUTH"": [0, 0, 4, 6, 6, 8], ""WEST"": [2, 2, 6, 7]}","{""EAST"": [""S_EXIT"", ""W_EXIT"", ""N_EXIT""], ""NORTH"": [""W_EXIT"", ""S_EXIT"", ""W_EXIT""], ""SOUTH"": [""E_EXIT"", ""N_EXIT"", ""W_EXIT"", ""W_EXIT"", ""N_EXIT"", ""N_EXIT""], ""WEST"": [""S_EXIT"", ""N_EXIT"", ""E_EXIT"", ""S_EXIT""]}"
27,30027,16,6,5,2,3,"{""EAST"": [3, 3, 5], ""NORTH"": [0, 0, 1, 4, 4, 7], ""SOUTH"": [2, 3, 4, 4, 6], ""WEST"": [1, 6]}","{""EAST"": [""S_EXIT"", ""S_EXIT"", ""W_EXIT""], ""NORTH"": [""E_EXIT"", ""E_EXIT"", ""S_EXIT"", ""W_EXIT"", ""S_EXIT"", ""E_EXIT""], ""SOUTH"": [""E_EXIT"", ""E_EXIT"", ""N_EXIT"", ""E_EXIT"", ""N_EXIT""], ""WEST"": [""E_EXIT"", ""E_EXIT""]}"
28,30028,16,5,4,4,3,"{""EAST"": [6, 8, 8], ""NORTH"": [0, 0, 1, 1, 3], ""SOUTH"": [0, 2, 5, 6], ""WEST"": [1, 1, 6, 6]}","{""EAST"": [""S_EXIT"", ""N_EXIT"", ""S_EXIT""], ""NORTH"": [""E_EXIT"", ""W_EXIT"", ""E_EXIT"", ""E_EXIT"", ""W_EXIT""], ""SOUTH"": [""N_EXIT"", ""N_EXIT"", ""N_EXIT"", ""N_EXIT""], ""WEST"": [""S_EXIT"", ""N_EXIT"", ""N_EXIT"", ""S_EXIT""]}"
29,30029,16,3,5,4,4,"{""EAST"": [1, 3, 5, 5], ""NORTH"": [5, 5, 6], ""SOUTH"": [0, 2, 2, 4, 8], ""WEST"": [4, 6, 6, 7]}","{""EAST"": [""W_EXIT"", ""N_EXIT"", ""W_EXIT"", ""N_EXIT""], ""NORTH"": [""S_EXIT"", ""E_EXIT"", ""S_EXIT""], ""SOUTH"": [""N_EXIT"", ""W_EXIT"", ""E_EXIT"", ""E_EXIT"", ""E_EXIT""], ""WEST"": [""N_EXIT"", ""E_EXIT"", ""N_EXIT"", ""S_EXIT""]}"
30,30030,16,4,4,2,6,"{""EAST"": [1, 2, 5, 5, 6, 8], ""NORTH"": [3, 4, 4, 6], ""SOUTH"": [1, 3, 6, 7], ""WEST"": [1, 6]}","{""EAST"": [""W_EXIT"", ""S_EXIT"", ""N_EXIT"", ""S_EXIT"", ""N_EXIT"", ""N_EXIT""], ""NORTH"": [""W_EXIT"", ""E_EXIT"", ""E_EXIT"", ""E_EXIT""], ""SOUTH"": [""E_EXIT"", ""W_EXIT"", ""W_EXIT"", ""N_EXIT""], ""WEST"": [""E_EXIT"", ""E_EXIT""]}"
31,30031,16,3,3,4,6,"{""EAST"": [1, 3, 4, 5, 6, 8], ""NORTH"": [1, 3, 8], ""SOUTH"": [0, 2, 3], ""WEST"": [1, 2, 7, 8]}","{""EAST"": [""W_EXIT"", ""S_EXIT"", ""N_EXIT"", ""S_EXIT"", ""S_EXIT"", ""W_EXIT""], ""NORTH"": [""S_EXIT"", ""W_EXIT"", ""E_EXIT""], ""SOUTH"": [""W_EXIT"", ""E_EXIT"", ""E_EXIT""], ""WEST"": [""N_EXIT"", ""N_EXIT"", ""S_EXIT"", ""E_EXIT""]}"
32,30032,16,2,6,3,5,"{""EAST"": [1, 2, 2, 5, 8], ""NORTH"": [0, 2], ""SOUTH"": [1, 5, 7, 8, 8, 8], ""WEST"": [0, 0, 1]}","{""EAST"": [""N_EXIT"", ""W_EXIT"", ""W_EXIT"", ""S_EXIT"", ""S_EXIT""], ""NORTH"": [""S_EXIT"", ""S_EXIT""], ""SOUTH"": [""N_EXIT"", ""N_EXIT"", ""E_EXIT"", ""W_EXIT"", ""E_EXIT"", ""E_EXIT""], ""WEST"": [""E_EXIT"", ""S_EXIT"", ""E_EXIT""]}"
33,30033,16,3,5,3,5,"{""EAST"": [0, 0, 2, 3, 6], ""NORTH"": [6, 8, 8], ""SOUTH"": [0, 2, 2, 4, 8], ""WEST"": [1, 1, 7]}","{""EAST"": [""S_EXIT"", ""W_EXIT"", ""S_EXIT"", ""W_EXIT"", ""W_EXIT""], ""NORTH"": [""E_EXIT"", ""W_EXIT"", ""E_EXIT""], ""SOUTH"": [""N_EXIT"", ""W_EXIT"", ""E_EXIT"", ""E_EXIT"", ""N_EXIT""], ""WEST"": [""N_EXIT"", ""E_EXIT"", ""N_EXIT""]}"
34,30034,16,3,6,4,3,"{""EAST"": [3, 5, 7], ""NORTH"": [0, 6, 6], ""SOUTH"": [0, 1, 2, 4, 5, 6], ""WEST"": [2, 2, 5, 5]}","{""EAST"": [""S_EXIT"", ""S_EXIT"", ""N_EXIT""], ""NORTH"": [""E_EXIT"", ""S_EXIT"", ""W_EXIT""], ""SOUTH"": [""W_EXIT"", ""N_EXIT"", ""E_EXIT"", ""E_EXIT"", ""N_EXIT"", ""W_EXIT""], ""WEST"": [""S_EXIT"", ""S_EXIT"", ""N_EXIT"", ""E_EXIT""]}"
35,30035,16,2,6,3,5,"{""EAST"": [3, 4, 7, 7, 7], ""NORTH"": [4, 6], ""SOUTH"": [4, 4, 6, 6, 7, 8], ""WEST"": [0, 0, 1]}","{""EAST"": [""N_EXIT"", ""N_EXIT"", ""S_EXIT"", ""S_EXIT"", ""S_EXIT""], ""NORTH"": [""E_EXIT"", ""W_EXIT""], ""SOUTH"": [""W_EXIT"", ""W_EXIT"", ""N_EXIT"", ""N_EXIT"", ""E_EXIT"", ""E_EXIT""], ""WEST"": [""S_EXIT"", ""E_EXIT"", ""E_EXIT""]}"
36,30036,16,6,4,2,4,"{""EAST"": [4, 6, 6, 7], ""NORTH"": [0, 1, 2, 3, 6, 7], ""SOUTH"": [2, 4, 5, 8], ""WEST"": [1, 5]}","{""EAST"": [""N_EXIT"", ""S_EXIT"", ""S_EXIT"", ""S_EXIT""], ""NORTH"": [""E_EXIT"", ""W_EXIT"", ""S_EXIT"", ""S_EXIT"", ""S_EXIT"", ""W_EXIT""], ""SOUTH"": [""W_EXIT"", ""E_EXIT"", ""W_EXIT"", ""W_EXIT""], ""WEST"": [""N_EXIT"", ""S_EXIT""]}"
37,30037,16,2,3,6,5,"{""EAST"": [1, 1, 4, 4, 7], ""NORTH"": [7, 8], ""SOUTH"": [0, 2, 8], ""WEST"": [0, 1, 2, 3, 3, 6]}","{""EAST"": [""N_EXIT"", ""N_EXIT"", ""W_EXIT"", ""N_EXIT"", ""N_EXIT""], ""NORTH"": [""E_EXIT"", ""E_EXIT""], ""SOUTH"": [""E_EXIT"", ""W_EXIT"", ""W_EXIT""], ""WEST"": [""N_EXIT"", ""N_EXIT"", ""S_EXIT"", ""S_EXIT"", ""N_EXIT"", ""N_EXIT""]}"
38,30038,16,4,4,4,4,"{""EAST"": [2, 4, 7, 8], ""NORTH"": [1, 6, 7, 7], ""SOUTH"": [6, 6, 6, 7], ""WEST"": [0, 3, 3, 5]}","{""EAST"": [""W_EXIT"", ""S_EXIT"", ""N_EXIT"", ""S_EXIT""], ""NORTH"": [""S_EXIT"", ""W_EXIT"", ""E_EXIT"", ""E_EXIT""], ""SOUTH"": [""N_EXIT"", ""W_EXIT"", ""W_EXIT"", ""E_EXIT""], ""WEST"": [""E_EXIT"", ""S_EXIT"", ""N_EXIT"", ""E_EXIT""]}"
39,30039,16,3,6,4,3,"{""EAST"": [4, 4, 4], ""NORTH"": [3, 3, 5], ""SOUTH"": [1, 3, 6, 7, 8, 8], ""WEST"": [5, 6, 8, 8]}","{""EAST"": [""W_EXIT"", ""S_EXIT"", ""W_EXIT""], ""NORTH"": [""W_EXIT"", ""S_EXIT"", ""S_EXIT""], ""SOUTH"": [""E_EXIT"", ""N_EXIT"", ""E_EXIT"", ""E_EXIT"", ""W_EXIT"", ""E_EXIT""], ""WEST"": [""E_EXIT"", ""E_EXIT"", ""S_EXIT"", ""E_EXIT""]}"
40,30040,16,3,5,4,4,"{""EAST"": [0, 1, 3, 8], ""NORTH"": [0, 1, 2], ""SOUTH"": [0, 3, 6, 7, 8], ""WEST"": [1, 1, 7, 8]}","{""EAST"": [""W_EXIT"", ""W_EXIT"", ""N_EXIT"", ""S_EXIT""], ""NORTH"": [""S_EXIT"", ""W_EXIT"", ""W_EXIT""], ""SOUTH"": [""N_EXIT"", ""E_EXIT"", ""E_EXIT"", ""W_EXIT"", ""E_EXIT""], ""WEST"": [""E_EXIT"", ""S_EXIT"", ""E_EXIT"", ""E_EXIT""]}"
41,30041,16,5,4,4,3,"{""EAST"": [0, 2, 6], ""NORTH"": [1, 4, 5, 5, 6], ""SOUTH"": [1, 1, 3, 8], ""WEST"": [3, 4, 8, 8]}","{""EAST"": [""W_EXIT"", ""N_EXIT"", ""S_EXIT""], ""NORTH"": [""E_EXIT"", ""S_EXIT"", ""E_EXIT"", ""S_EXIT"", ""W_EXIT""], ""SOUTH"": [""E_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT""], ""WEST"": [""S_EXIT"", ""S_EXIT"", ""E_EXIT"", ""S_EXIT""]}"
42,30042,16,5,2,5,4,"{""EAST"": [0, 0, 4, 5], ""NORTH"": [0, 0, 2, 7, 7], ""SOUTH"": [4, 6], ""WEST"": [0, 1, 1, 5, 7]}","{""EAST"": [""S_EXIT"", ""S_EXIT"", ""W_EXIT"", ""W_EXIT""], ""NORTH"": [""W_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT"", ""E_EXIT""], ""SOUTH"": [""E_EXIT"", ""W_EXIT""], ""WEST"": [""N_EXIT"", ""E_EXIT"", ""N_EXIT"", ""S_EXIT"", ""S_EXIT""]}"
43,30043,16,3,5,6,2,"{""EAST"": [2, 7], ""NORTH"": [1, 5, 7], ""SOUTH"": [2, 4, 6, 6, 8], ""WEST"": [0, 1, 1, 4, 8, 8]}","{""EAST"": [""W_EXIT"", ""N_EXIT""], ""NORTH"": [""S_EXIT"", ""W_EXIT"", ""S_EXIT""], ""SOUTH"": [""W_EXIT"", ""N_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT""], ""WEST"": [""N_EXIT"", ""N_EXIT"", ""S_EXIT"", ""N_EXIT"", ""E_EXIT"", ""E_EXIT""]}"
44,30044,16,3,4,6,3,"{""EAST"": [0, 3, 3], ""NORTH"": [4, 7, 8], ""SOUTH"": [0, 1, 4, 4], ""WEST"": [0, 0, 1, 4, 7, 8]}","{""EAST"": [""N_EXIT"", ""S_EXIT"", ""S_EXIT""], ""NORTH"": [""E_EXIT"", ""S_EXIT"", ""E_EXIT""], ""SOUTH"": [""E_EXIT"", ""E_EXIT"", ""E_EXIT"", ""W_EXIT""], ""WEST"": [""S_EXIT"", ""N_EXIT"", ""E_EXIT"", ""S_EXIT"", ""E_EXIT"", ""E_EXIT""]}"
45,30045,16,4,5,4,3,"{""EAST"": [1, 2, 2], ""NORTH"": [1, 1, 5, 5], ""SOUTH"": [1, 3, 4, 5, 6], ""WEST"": [1, 5, 6, 7]}","{""EAST"": [""N_EXIT"", ""N_EXIT"", ""N_EXIT""], ""NORTH"": [""S_EXIT"", ""W_EXIT"", ""W_EXIT"", ""S_EXIT""], ""SOUTH"": [""W_EXIT"", ""E_EXIT"", ""W_EXIT"", ""E_EXIT"", ""E_EXIT""], ""WEST"": [""S_EXIT"", ""N_EXIT"", ""S_EXIT"", ""N_EXIT""]}"
46,30046,16,4,5,3,4,"{""EAST"": [0, 1, 5, 7], ""NORTH"": [1, 2, 3, 8], ""SOUTH"": [0, 5, 8, 8, 8], ""WEST"": [0, 0, 2]}","{""EAST"": [""W_EXIT"", ""S_EXIT"", ""W_EXIT"", ""W_EXIT""], ""NORTH"": [""E_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT""], ""SOUTH"": [""N_EXIT"", ""N_EXIT"", ""N_EXIT"", ""E_EXIT"", ""N_EXIT""], ""WEST"": [""N_EXIT"", ""N_EXIT"", ""S_EXIT""]}"
