run_index,scenario_seed,scenario_case_id,scenario_case_name,scenario_case_label,scenario_split,dominant_approach,dominant_approach_count,dominant_exit,dominant_exit_count,early_departures,total_agvs,north_agvs,south_agvs,west_agvs,east_agvs,spawn_plan_json,goal_plan_json
10,40010,1,normal_balanced,Scenario 1: Normal balanced,train_test,,0,,0,0,20,5,5,5,5,"{""EAST"": [0, 4, 8, 12, 16], ""NORTH"": [0, 4, 8, 12, 16], ""SOUTH"": [0, 4, 8, 12, 16], ""WEST"": [0, 4, 8, 12, 16]}","{""EAST"": [""S_EXIT"", ""W_EXIT"", ""S_EXIT"", ""S_EXIT"", ""W_EXIT""], ""NORTH"": [""W_EXIT"", ""S_EXIT"", ""E_EXIT"", ""E_EXIT"", ""W_EXIT""], ""SOUTH"": [""N_EXIT"", ""N_EXIT"", ""W_EXIT"", ""N_EXIT"", ""E_EXIT""], ""WEST"": [""E_EXIT"", ""N_EXIT"", ""S_EXIT"", ""E_EXIT"", ""N_EXIT""]}"
11,40011,1,normal_balanced,Scenario 1: Normal balanced,train_test,,0,,0,0,20,5,5,5,5,"{""EAST"": [0, 4, 8, 12, 16], ""NORTH"": [0, 4, 8, 12, 16], ""SOUTH"": [0, 4, 8, 12, 16], ""WEST"": [0, 4, 8, 12, 16]}","{""EAST"": [""N_EXIT"", ""W_EXIT"", ""S_EXIT"", ""W_EXIT"", ""S_EXIT""], ""NORTH"": [""E_EXIT"", ""S_EXIT"", ""W_EXIT"", ""E_EXIT"", ""S_EXIT""], ""SOUTH"": [""W_EXIT"", ""E_EXIT"", ""N_EXIT"", ""W_EXIT"", ""E_EXIT""], ""WEST"": [""S_EXIT"", ""E_EXIT"", ""N_EXIT"", ""N_EXIT"", ""N_EXIT""]}"
12,40012,1,normal_balanced,Scenario 1: Normal balanced,train_test,,0,,0,0,20,5,5,5,5,"{""EAST"": [0, 4, 8, 12, 16], ""NORTH"": [0, 4, 8, 12, 16], ""SOUTH"": [0, 4, 8, 12, 16], ""WEST"": [0, 4, 8, 12, 16]}","{""EAST"": [""S_EXIT"", ""N_EXIT"", ""S_EXIT"", ""N_EXIT"", ""N_EXIT""], ""NORTH"": [""E_EXIT"", ""W_EXIT"", ""S_EXIT"", ""S_EXIT"", ""W_EXIT""], ""SOUTH"": [""W_EXIT"", ""W_EXIT"", ""E_EXIT"", ""W_EXIT"", ""E_EXIT""], ""WEST"": [""N_EXIT"", ""E_EXIT"", ""N_EXIT"", ""E_EXIT"", ""S_EXIT""]}"
13,40013,1,normal_balanced,Scenario 1: Normal balanced,train_test,,0,,0,0,20,5,5,5,5,"{""EAST"": [0, 4, 8, 12, 16], ""NORTH"": [0, 4, 8, 12, 16], ""SOUTH"": [0, 4, 8, 12, 16], ""WEST"": [0, 4, 8, 12, 16]}","{""EAST"": [""W_EXIT"", ""S_EXIT"", ""N_EXIT"", ""S_EXIT"", ""W_EXIT""], ""NORTH"": [""S_EXIT"", ""E_EXIT"", ""W_EXIT"", ""S_EXIT"", ""W_EXIT""], ""SOUTH"": [""E_EXIT"", ""N_EXIT"", ""W_EXIT"", ""E_EXIT"", ""E_EXIT""], ""WEST"": [""N_EXIT"", ""S_EXIT"", ""E_EXIT"", ""N_EXIT"", ""N_EXIT""]}"
14,40014,1,normal_balanced,Scenario 1: Normal balanced,train_test,,0,,0,0,20,5,5,5,5,"{""EAST"": [0, 4, 8, 12, 16], ""NORTH"": [0, 4, 8, 12, 16], ""SOUTH"": [0, 4, 8, 12, 16], ""WEST"": [0, 4, 8, 12, 16]}","{""EAST"": [""N_EXIT"", ""W_EXIT"", ""S_EXIT"", ""N_EXIT"", ""N_EXIT""], ""NORTH"": [""S_EXIT"", ""W_EXIT"", ""S_EXIT"", ""W_EXIT"", ""E_EXIT""], ""SOUTH"": [""E_EXIT"", ""W_EXIT"", ""N_EXIT"", ""N_EXIT"", ""W_EXIT""], ""WEST"": [""E_EXIT"", ""E_EXIT"", ""S_EXIT"", ""E_EXIT"", ""S_EXIT""]}"
15,40015,1,normal_balanced,Scenario 1: Normal balanced,train_test,,0,,0,0,20,5,5,5,5,"{""EAST"": [0, 4, 8, 12, 16], ""NORTH"": [0, 4, 8, 12, 16], ""SOUTH"": [0, 4, 8, 12, 16], ""WEST"": [0, 4, 8, 12, 16]}","{""EAST"": [""W_EXIT"", ""W_EXIT"", ""S_EXIT"", ""N_EXIT"", ""W_EXIT""], ""NORTH"": [""S_EXIT"", ""E_EXIT"", ""E_EXIT"", ""S_EXIT"", ""S_EXIT""], ""SOUTH"": [""N_EXIT"", ""E_EXIT"", ""W_EXIT"", ""W_EXIT"", ""N_EXIT""], ""WEST"": [""N_EXIT"", ""S_EXIT"", ""N_EXIT"", ""E_EXIT"", ""E_EXIT""]}"
16,40016,1,normal_balanced,Scenario 1: Normal balanced,train_test,,0,,0,0,20,5,5,5,5,"{""EAST"": [0, 4, 8, 12, 16], ""NORTH"": [0, 4, 8, 12, 16], ""SOUTH"": [0, 4, 8, 12, 16], ""WEST"": [0, 4, 8, 12, 16]}","{""EAST"": [""S_EXIT"", ""W_EXIT"", ""N_EXIT"", ""S_EXIT"", ""S_EXIT""], ""NORTH"": [""W_EXIT"", ""E_EXIT"", ""W_EXIT"", ""W_EXIT"", ""E_EXIT""], ""SOUTH"": [""E_EXIT"", ""W_EXIT"", ""N_EXIT"", ""E_EXIT"", ""N_EXIT""], ""WEST"": [""N_EXIT"", ""S_EXIT"", ""E_EXIT"", ""N_EXIT"", ""S_EXIT""]}"
17,40017,1,normal_balanced,Scenario 1: Normal balanced,train_test,,0,,0,0,20,5,5,5,5,"{""EAST"": [0, 4, 8, 12, 16], ""NORTH"": [0, 4, 8, 12, 16], ""SOUTH"": [0, 4, 8, 12, 16], ""WEST"": [0, 4, 8, 12, 16]}","{""EAST"": [""S_EXIT"", ""W_EXIT"", ""N_EXIT"", ""S_EXIT"", ""N_EXIT""], ""NORTH"": [""W_EXIT"", ""W_EXIT"", ""E_EXIT"", ""S_EXIT"", ""W_EXIT""], ""SOUTH"": [""E_EXIT"", ""W_EXIT"", ""E_EXIT"", ""E_EXIT"", ""E_EXIT""], ""WEST"": [""N_EXIT"", ""S_EXIT"", ""S_EXIT"", ""N_EXIT"", ""N_EXIT""]}"
18,40018,1,normal_balanced,Scenario 1: Normal balanced,train_test,,0,,0,0,20,5,5,5,5,"{""EAST"": [0, 4, 8, 12, 16], ""NORTH"": [0, 4, 8, 12, 16], ""SOUTH"": [0, 4, 8, 12, 16], ""WEST"": [0, 4, 8, 12, 16]}","{""EAST"": [""W_EXIT"", ""N_EXIT"", ""W_EXIT"", ""W_EXIT"", ""N_EXIT""], ""NORTH"": [""S_EXIT"", ""E_EXIT"", ""S_EXIT"", ""W_EXIT"", ""E_EXIT""], ""SOUTH"": [""N_EXIT"", ""E_EXIT"", ""N_EXIT"", ""W_EXIT"", ""E_EXIT""], ""WEST"": [""E_EXIT"", ""N_EXIT"", ""S_EXIT"", ""S_EXIT"", ""S_EXIT""]}"
19,40019,1,normal_balanced,Scenario 1: Normal balanced,train_test,,0,,0,0,20,5,5,5,5,"{""EAST"": [0, 4, 8, 12, 16], ""NORTH"": [0, 4, 8, 12, 16], ""SOUTH"": [0, 4, 8, 12, 16], ""WEST"": [0, 4, 8, 12, 16]}","{""EAST"": [""N_EXIT"", ""S_EXIT"", ""W_EXIT"", ""S_EXIT"", ""S_EXIT""], ""NORTH"": [""E_EXIT"", ""W_EXIT"", ""E_EXIT"", ""S_EXIT"", ""E_EXIT""], ""SOUTH"": [""W_EXIT"", ""N_EXIT"", ""W_EXIT"", ""N_EXIT"", ""W_EXIT""], ""WEST"": [""N_EXIT"", ""N_EXIT"", ""E_EXIT"", ""S_EXIT"", ""E_EXIT""]}"
20,40020,1,normal_balanced,Scenario 1: Normal balanced,train_test,,0,,0,0,20,5,5,5,5,"{""EAST"": [0, 4, 8, 12, 16], ""NORTH"": [0, 4, 8, 12, 16], ""SOUTH"": [0, 4, 8, 12, 16], ""WEST"": [0, 4, 8, 12, 16]}","{""EAST"": [""N_EXIT"", ""S_EXIT"", ""S_EXIT"", ""N_EXIT"", ""W_EXIT""], ""NORTH"": [""E_EXIT"", ""S_EXIT"", ""W_EXIT"", ""S_EXIT"", ""W_EXIT""], ""SOUTH"": [""W_EXIT"", ""N_EXIT"", ""N_EXIT"", ""W_EXIT"", ""E_EXIT""], ""WEST"": [""E_EXIT"", ""E_EXIT"", ""N_EXIT"", ""E_EXIT"", ""S_EXIT""]}"
21,40021,1,normal_balanced,Scenario 1: Normal balanced,train_test,,0,,0,0,20,5,5,5,5,"{""EAST"": [0, 4, 8, 12, 16], ""NORTH"": [0, 4, 8, 12, 16], ""SOUTH"": [0, 4, 8, 12, 16], ""WEST"": [0, 4, 8, 12, 16]}","{""EAST"": [""S_EXIT"", ""N_EXIT"", ""W_EXIT"", ""S_EXIT"", ""S_EXIT""], ""NORTH"": [""S_EXIT"", ""E_EXIT"", ""W_EXIT"", ""E_EXIT"", ""E_EXIT""], ""SOUTH"": [""N_EXIT"", ""W_EXIT"", ""W_EXIT"", ""E_EXIT"", ""W_EXIT""], ""WEST"": [""E_EXIT"", ""N_EXIT"", ""S_EXIT"", ""N_EXIT"", ""N_EXIT""]}"
22,40022,1,normal_balanced,Scenario 1: Normal balanced,train_test,,0,,0,0,20,5,5,5,5,"{""EAST"": [0, 4, 8, 12, 16], ""NORTH"": [0, 4, 8, 12, 16], ""SOUTH"": [0, 4, 8, 12, 16], ""WEST"": [0, 4, 8, 12, 16]}","{""EAST"": [""N_EXIT"", ""S_EXIT"", ""N_EXIT"", ""W_EXIT"", ""S_EXIT""], ""NORTH"": [""E_EXIT"", ""E_EXIT"", ""S_EXIT"", ""W_EXIT"", ""S_EXIT""], ""SOUTH"": [""W_EXIT"", ""W_EXIT"", ""W_EXIT"", ""N_EXIT"", ""E_EXIT""], ""WEST"": [""N_EXIT"", ""S_EXIT"", ""E_EXIT"", ""N_EXIT"", ""E_EXIT""]}"
23,40023,1,normal_balanced,Scenario 1: Normal balanced,train_test,,0,,0,0,20,5,5,5,5,"{""EAST"": [0, 4, 8, 12, 16], ""NORTH"": [0, 4, 8, 12, 16], ""SOUTH"": [0, 4, 8, 12, 16], ""WEST"": [0, 4, 8, 12, 16]}","{""EAST"": [""S_EXIT"", ""N_EXIT"", ""S_EXIT"", ""N_EXIT"", ""W_EXIT""], ""NORTH"": [""S_EXIT"", ""E_EXIT"", ""W_EXIT"", ""E_EXIT"", ""E_EXIT""], ""SOUTH"": [""W_EXIT"", ""E_EXIT"", ""W_EXIT"", ""W_EXIT"", ""E_EXIT""], ""WEST"": [""N_EXIT"", ""N_EXIT"", ""S_EXIT"", ""N_EXIT"", ""S_EXIT""]}"
24,40024,1,normal_balanced,Scenario 1: Normal balanced,train_test,,0,,0,0,20,5,5,5,5,"{""EAST"": [0, 4, 8, 12, 16], ""NORTH"": [0, 4, 8, 12, 16], ""SOUTH"": [0, 4, 8, 12, 16], ""WEST"": [0, 4, 8, 12, 16]}","{""EAST"": [""N_EXIT"", ""N_EXIT"", ""W_EXIT"", ""S_EXIT"", ""W_EXIT""], ""NORTH"": [""S_EXIT"", ""W_EXIT"", ""S_EXIT"", ""S_EXIT"", ""E_EXIT""], ""SOUTH"": [""W_EXIT"", ""E_EXIT"", ""N_EXIT"", ""E_EXIT"", ""W_EXIT""], ""WEST"": [""S_EXIT"", ""E_EXIT"", ""N_EXIT"", ""E_EXIT"", ""N_EXIT""]}"
25,40025,1,normal_balanced,Scenario 1: Normal balanced,train_test,,0,,0,0,20,5,5,5,5,"{""EAST"": [0, 4, 8, 12, 16], ""NORTH"": [0, 4, 8, 12, 16], ""SOUTH"": [0, 4, 8, 12, 16], ""WEST"": [0, 4, 8, 12, 16]}","{""EAST"": [""N_EXIT"", ""W_EXIT"", ""S_EXIT"", ""S_EXIT"", ""N_EXIT""], ""NORTH"": [""E_EXIT"", ""W_EXIT"", ""E_EXIT"", ""W_EXIT"", ""E_EXIT""], ""SOUTH"": [""N_EXIT"", ""E_EXIT"", ""W_EXIT"", ""N_EXIT"", ""W_EXIT""], ""WEST"": [""S_EXIT"", ""E_EXIT"", ""N_EXIT"", ""S_EXIT"", ""S_EXIT""]}"
26,40026,1,normal_balanced,Scenario 1: Normal balanced,train_test,,0,,0,0,20,5,5,5,5,"{""EAST"": [0, 4, 8, 12, 16], ""NORTH"": [0, 4, 8, 12, 16], ""SOUTH"": [0, 4, 8, 12, 16], ""WEST"": [0, 4, 8, 12, 16]}","{""EAST"": [""S_EXIT"", ""W_EXIT"", ""S_EXIT"", ""S_EXIT"", ""W_EXIT""], ""NORTH"": [""S_EXIT"", ""E_EXIT"", ""W_EXIT"", ""E_EXIT"", ""W_EXIT""], ""SOUTH"": [""W_EXIT"", ""E_EXIT"", ""E_EXIT"", ""N_EXIT"", ""N_EXIT""], ""WEST"": [""N_EXIT"", ""N_EXIT"", ""N_EXIT"", ""S_EXIT"", ""E_EXIT""]}"
27,40027,1,normal_balanced,Scenario 1: Normal balanced,train_test,,0,,0,0,20,5,5,5,5,"{""EAST"": [0, 4, 8, 12, 16], ""NORTH"": [0, 4, 8, 12, 16], ""SOUTH"": [0, 4, 8, 12, 16], ""WEST"": [0, 4, 8, 12, 16]}","{""EAST"": [""W_EXIT"", ""S_EXIT"", ""S_EXIT"", ""W_EXIT"", ""N_EXIT""], ""NORTH"": [""E_EXIT"", ""W_EXIT"", ""E_EXIT"", ""W_EXIT"", ""E_EXIT""], ""SOUTH"": [""N_EXIT"", ""W_EXIT"", ""E_EXIT"", ""N_EXIT"", ""N_EXIT""], ""WEST"": [""N_EXIT"", ""E_EXIT"", ""S_EXIT"", ""S_EXIT"", ""S_EXIT""]}"
28,40028,1,normal_balanced,Scenario 1: Normal balanced,train_test,,0,,0,0,20,5,5,5,5,"{""EAST"": [0, 4, 8, 12, 16], ""NORTH"": [0, 4, 8, 12, 16], ""SOUTH"": [0, 4, 8, 12, 16], ""WEST"": [0, 4, 8, 12, 16]}","{""EAST"": [""W_EXIT"", ""W_EXIT"", ""S_EXIT"", ""W_EXIT"", ""N_EXIT""], ""NORTH"": [""S_EXIT"", ""E_EXIT"", ""S_EXIT"", ""E_EXIT"", ""W_EXIT""], ""SOUTH"": [""N_EXIT"", ""E_EXIT"", ""W_EXIT"", ""N_EXIT"", ""N_EXIT""], ""WEST"": [""N_EXIT"", ""E_EXIT"", ""S_EXIT"", ""S_EXIT"", ""E_EXIT""]}"
29,40029,1,normal_balanced,Scenario 1: Normal balanced,train_test,,0,,0,0,20,5,5,5,5,"{""EAST"": [0, 4, 8, 12, 16], ""NORTH"": [0, 4, 8, 12, 16], ""SOUTH"": [0, 4, 8, 12, 16], ""WEST"": [0, 4, 8, 12, 16]}","{""EAST"": [""W_EXIT"", ""N_EXIT"", ""S_EXIT"", ""S_EXIT"", ""N_EXIT""], ""NORTH"": [""E_EXIT"", ""S_EXIT"", ""E_EXIT"", ""W_EXIT"", ""E_EXIT""], ""SOUTH"": [""W_EXIT"", ""N_EXIT"", ""W_EXIT"", ""E_EXIT"", ""W_EXIT""], ""WEST"": [""S_EXIT"", ""E_EXIT"", ""N_EXIT"", ""S_EXIT"", ""N_EXIT""]}"
30,40030,1,normal_balanced,Scenario 1: Normal balanced,train_test,,0,,0,0,20,5,5,5,5,"{""EAST"": [0, 4, 8, 12, 16], ""NORTH"": [0, 4, 8, 12, 16], ""SOUTH"": [0, 4, 8, 12, 16], ""WEST"": [0, 4, 8, 12, 16]}","{""EAST"": [""W_EXIT"", ""N_EXIT"", ""S_EXIT"", ""S_EXIT"", ""N_EXIT""], ""NORTH"": [""E_EXIT"", ""S_EXIT"", ""W_EXIT"", ""S_EXIT"", ""W_EXIT""], ""SOUTH"": [""N_EXIT"", ""W_EXIT"", ""E_EXIT"", ""N_EXIT"", ""W_EXIT""], ""WEST"": [""E_EXIT"", ""E_EXIT"", ""N_EXIT"", ""S_EXIT"", ""E_EXIT""]}"
31,40031,1,normal_balanced,Scenario 1: Normal balanced,train_test,,0,,0,0,20,5,5,5,5,"{""EAST"": [0, 4, 8, 12, 16], ""NORTH"": [0, 4, 8, 12, 16], ""SOUTH"": [0, 4, 8, 12, 16], ""WEST"": [0, 4, 8, 12, 16]}","{""EAST"": [""S_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT"", ""N_EXIT""], ""NORTH"": [""W_EXIT"", ""S_EXIT"", ""E_EXIT"", ""W_EXIT"", ""S_EXIT""], ""SOUTH"": [""N_EXIT"", ""E_EXIT"", ""N_EXIT"", ""E_EXIT"", ""E_EXIT""], ""WEST"": [""E_EXIT"", ""N_EXIT"", ""S_EXIT"", ""N_EXIT"", ""S_EXIT""]}"
32,40032,1,normal_balanced,Scenario 1: Normal balanced,train_test,,0,,0,0,20,5,5,5,5,"{""EAST"": [0, 4, 8, 12, 16], ""NORTH"": [0, 4, 8, 12, 16], ""SOUTH"": [0, 4, 8, 12, 16], ""WEST"": [0, 4, 8, 12, 16]}","{""EAST"": [""S_EXIT"", ""S_EXIT"", ""W_EXIT"", ""S_EXIT"", ""N_EXIT""], ""NORTH"": [""S_EXIT"", ""E_EXIT"", ""W_EXIT"", ""E_EXIT"", ""E_EXIT""], ""SOUTH"": [""W_EXIT"", ""E_EXIT"", ""W_EXIT"", ""W_EXIT"", ""N_EXIT""], ""WEST"": [""N_EXIT"", ""N_EXIT"", ""N_EXIT"", ""S_EXIT"", ""E_EXIT""]}"
33,40033,1,normal_balanced,Scenario 1: Normal balanced,train_test,,0,,0,0,20,5,5,5,5,"{""EAST"": [0, 4, 8, 12, 16], ""NORTH"": [0, 4, 8, 12, 16], ""SOUTH"": [0, 4, 8, 12, 16], ""WEST"": [0, 4, 8, 12, 16]}","{""EAST"": [""W_EXIT"", ""N_EXIT"", ""N_EXIT"", ""S_EXIT"", ""N_EXIT""], ""NORTH"": [""E_EXIT"", ""S_EXIT"", ""S_EXIT"", ""W_EXIT"", ""W_EXIT""], ""SOUTH"": [""N_EXIT"", ""W_EXIT"", ""E_EXIT"", ""E_EXIT"", ""W_EXIT""], ""WEST"": [""E_EXIT"", ""S_EXIT"", ""N_EXIT"", ""S_EXIT"", ""E_EXIT""]}"
34,40034,1,normal_balanced,Scenario 1: Normal balanced,train_test,,0,,0,0,20,5,5,5,5,"{""EAST"": [0, 4, 8, 12, 16], ""NORTH"": [0, 4, 8, 12, 16], ""SOUTH"": [0, 4, 8, 12, 16], ""WEST"": [0, 4, 8, 12, 16]}","{""EAST"": [""W_EXIT"", ""S_EXIT"", ""W_EXIT"", ""S_EXIT"", ""W_EXIT""], ""NORTH"": [""S_EXIT"", ""E_EXIT"", ""E_EXIT"", ""S_EXIT"", ""W_EXIT""], ""SOUTH"": [""N_EXIT"", ""E_EXIT"", ""W_EXIT"", ""E_EXIT"", ""N_EXIT""], ""WEST"": [""N_EXIT"", ""S_EXIT"", ""N_EXIT"", ""N_EXIT"", ""E_EXIT""]}"
35,40035,1,normal_balanced,Scenario 1: Normal balanced,train_test,,0,,0,0,20,5,5,5,5,"{""EAST"": [0, 4, 8, 12, 16], ""NORTH"": [0, 4, 8, 12, 16], ""SOUTH"": [0, 4, 8, 12, 16], ""WEST"": [0, 4, 8, 12, 16]}","{""EAST"": [""N_EXIT"", ""S_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT""], ""NORTH"": [""E_EXIT"", ""S_EXIT"", ""W_EXIT"", ""S_EXIT"", ""S_EXIT""], ""SOUTH"": [""N_EXIT"", ""E_EXIT"", ""W_EXIT"", ""N_EXIT"", ""N_EXIT""], ""WEST"": [""E_EXIT"", ""E_EXIT"", ""N_EXIT"", ""E_EXIT"", ""S_EXIT""]}"
